title,duration,description,tags/0,tags/1,tags/2,tags/3,views,author,videoId,comments,numRatings,age,dateFeaturedEpoch,dateFeatured,timestampFeatured,stars,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20
Diary of a Cartoonist Episode 7,250,The Wii is Wiierd,Nintendo,Wii,,,40446,MyExtraLife,1ckXnUyByhA,,251,23 hours ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,,,,,,,,,,,,,,,,,
Chicago Immigrant Workers Rights March Pt 1,139,"Video of the Immigrant Workers Rights March and Rally that took place in Chicago on May 1, 2006. 
 
First of 3 clips. 
 
Part 2: 
http://www.youtube.com/watch?v =M-RkeJbtzW8 
  
Part 3: 
http://www.youtube.com/watch?v =4bf99BwCptw",immigrants,labor,,,20265,franscud,9a12yCk2_DQ,,284,23 hours ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,,,,,,,,,,,,,,,,,
"""I didn't think so""",179,"Just wrote this about 10 minutes ago.. didn't think I've put a video on here in a while so, here's my latest C= 
 
LYRICS: 
 
Some people dress differently to stick out 
Some stick out on their own 
Some people try to run away (from it all) 
Some can't wait to get home 
 
Do you even know what this life is about? 
Do you know what I'm about to shout? 
 
I didn't think so, no 
I didn't think so 
 
If things go wrong,  
We move along 
 
But I didn't think so, no 
I didn't think so 
 
We'll be strong 
And move along 
 
Underestamating situations 
That which we have no control 
Losing touch of the destination 
'Cause that's just how we roll 
 
Do you even know what this life is about... etc etc etc.",unfabulous,music,guitar,,161436,unfabulous,MjRAbRZjqLE,,1339,6 days ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,,,,,,,,,,,,,,,,,
SF International Film Festival Trailer,36,"49th SAN FRANCISCO INTERNATIONAL FILM FESTIVAL, April 20 - May 4,2006 
WWW.SFFS.ORG   
NEW PLATFORMS, NEW WORK, NEW EXPERIENCES 
MACHINIMA--ANIMATION--LIVE CINEMA--A SCANNER DARKLY--CELL CINEMA--ADDICTIVE 
TV--VJAY--MATTHEW BARNEY--INTERNATIONAL REMIX 
***PLUS, OVER 200 FILMS FROM AROUND THE WORLD 
  
SFIFF introduces the new KinoTek program, featuring live performances and 
exciting multimedia platforms that showcase how new technologies are 
transforming the way we make and watch  movies, and spark the next 
generation of the moving image. 
 
For Tickets and Information visit 
http://fest06.sffs.org/, 925-866-9559","""san","francisco""",film,festival,36010,sffs,Ua-HIk4_dyk,,120,1 week ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,indie,short,movies,international,sfiff,,,,,,,,,,,,
Re-Enactment: Uncle Buck,192,"The Tenth of my Re-enactment series. 
 
Two weeks have gone by since my last video was uploaded... I've been lazy, I admit it. 
 
This is one of my favorite scenes of all time. John Candy's character goes to his niece's school to talk to her assistant principal about her behavior. He rips her a new one. 
 
The music before and after this scene plays a big part, so I couldn't resist beatboxing my own rendition of ""Wild Thing"" by Tone Loc in the end.  
 
I said I didn't want to do too many of these... but I think after doing ten, that statement holds no merit. Expect another re-enactment soon. 
 
I used some scotch tape and a pistachio nut for the volcanic wart on Anita Hoargarth's face.",uncle,buck,john,candy,43839,ArtieTSMITW,3k4O_id93o0,,519,6 days ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,re-enactment,brandon,hardesty,GNAWTHATTHINGOFFYOURFACE!,,,,,,,,,,,,,
"Evans Blue ""Cold (But I'm Still Here)"" Music Video",98,"Toronto's Evans Blue have lit up the Rock and Modern Rock charts since releasing their debut single COLD (But I'm Still Here). Capitalizing on the success of COLD (But I'm Still Here), the group released their first album, The Melody and the Energetic Nature of Volume on February 21st. As one of the breakthrough rock success stories of the year, The Melody and the Energetic Nature of Volume became the Nation's #1 New Artist release in it's first week. The band is continually touring all year in support of their release. Director Paul Brown lends his creative eye to bring the bands energy through the screen and into your brain with the video for COLD (But I'm Still Here).",evans,blue,cold,but,90126,hollywoodrec,De-E6yZSo7M,,289,4 days ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,im,still,here,music,video,hollywood,records,modern,rock,,,,,,,,
F-16 crash,48,"filmed from ground 
 
(i also have the internal camera footage as well, http://www.youtube.com/watch?v =6EBHOZeLqs8).",cool,,,,191058,fatbob79,b4Knsa7kBPE,,816,1 week ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,,,,,,,,,,,,,,,,,
STRANGERS WITH CANDY - Teaser Trailer - Exclusive First Look,47,ThinkFilm presents an Exclusive first look at the Strangers With Candy movie trailer.  Keep an eye out.. the film hits theaters June 28th.,strangers,candy,amy,sedaris,182854,ThinkFilm,6I9wgY91VB8,,561,6 days ago,1146612025000,"Tue, 02 May 2006 23:20:25 GMT",20060502232025,2.5,david,gay,lesbian,humor,comedy,cult,classic,central,steven,colbert,funny,,,,,,
"TNA: ""Global Impact!"" (May 3, 2006)",1346,TNA's online video show Global Impact - featuring Playboy Playmate and newest TNA Knockout Christy Hemme with Jeremy Borash!,tna,wrestling,global,impact,68127,TNAwrestling,fM38G1450Ew,,199,16 hours ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
The Immigration Debate,308,The immigration debate blows up when the Pilgrims protest limitations to their rights in America...,supernews,current,immigration,,31254,current,YhEl6HdfqWM,,303,17 hours ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
Jump Boots free style 2,95,http://www.powerisers.de/,Jump,Boots,,,149706,kvleung,YDNZzseSeJ8,,692,1 day ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
real life frogger,10,car just misses everyone,frogger,accidents,cars,luck,600197,asphaltjunkiez,SbY0Jh9_RJ8,,1941,2 days ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
Diary of a Cartoonist Episode 7,250,The Wii is Wiierd,Nintendo,Wii,,,79291,MyExtraLife,1ckXnUyByhA,,409,2 days ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
Chicago Immigrant Workers Rights March Pt 1,139,"Video of the Immigrant Workers Rights March and Rally that took place in Chicago on May 1, 2006. 
 
First of 3 clips. 
 
Part 2: 
http://www.youtube.com/watch?v =M-RkeJbtzW8 
  
Part 3: 
http://www.youtube.com/watch?v =4bf99BwCptw",immigrants,labor,,,48888,franscud,9a12yCk2_DQ,,466,2 days ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
"""I didn't think so""",179,"Just wrote this about 10 minutes ago.. didn't think I've put a video on here in a while so, here's my latest C= 
 
LYRICS: 
 
Some people dress differently to stick out 
Some stick out on their own 
Some people try to run away (from it all) 
Some can't wait to get home 
 
Do you even know what this life is about? 
Do you know what I'm about to shout? 
 
I didn't think so, no 
I didn't think so 
 
If things go wrong,  
We move along 
 
But I didn't think so, no 
I didn't think so 
 
We'll be strong 
And move along 
 
Underestamating situations 
That which we have no control 
Losing touch of the destination 
'Cause that's just how we roll 
 
Do you even know what this life is about... etc etc etc.",unfabulous,music,guitar,,189232,unfabulous,MjRAbRZjqLE,,1525,1 week ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,,,,,,,,,,,,,,,,,
SF International Film Festival Trailer,36,"49th SAN FRANCISCO INTERNATIONAL FILM FESTIVAL, April 20 - May 4,2006 
WWW.SFFS.ORG   
NEW PLATFORMS, NEW WORK, NEW EXPERIENCES 
MACHINIMA--ANIMATION--LIVE CINEMA--A SCANNER DARKLY--CELL CINEMA--ADDICTIVE 
TV--VJAY--MATTHEW BARNEY--INTERNATIONAL REMIX 
***PLUS, OVER 200 FILMS FROM AROUND THE WORLD 
  
SFIFF introduces the new KinoTek program, featuring live performances and 
exciting multimedia platforms that showcase how new technologies are 
transforming the way we make and watch  movies, and spark the next 
generation of the moving image. 
 
For Tickets and Information visit 
http://fest06.sffs.org/, 925-866-9559","""san","francisco""",film,festival,46552,sffs,Ua-HIk4_dyk,,147,1 week ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,indie,short,movies,international,sfiff,,,,,,,,,,,,
Re-Enactment: Uncle Buck,192,"The Tenth of my Re-enactment series. 
 
Two weeks have gone by since my last video was uploaded... I've been lazy, I admit it. 
 
This is one of my favorite scenes of all time. John Candy's character goes to his niece's school to talk to her assistant principal about her behavior. He rips her a new one. 
 
The music before and after this scene plays a big part, so I couldn't resist beatboxing my own rendition of ""Wild Thing"" by Tone Loc in the end.  
 
I said I didn't want to do too many of these... but I think after doing ten, that statement holds no merit. Expect another re-enactment soon. 
 
I used some scotch tape and a pistachio nut for the volcanic wart on Anita Hoargarth's face.",uncle,buck,john,candy,61868,ArtieTSMITW,3k4O_id93o0,,636,1 week ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,re-enactment,brandon,hardesty,GNAWTHATTHINGOFFYOURFACE!,,,,,,,,,,,,,
"Evans Blue ""Cold (But I'm Still Here)"" Music Video",98,"Toronto's Evans Blue have lit up the Rock and Modern Rock charts since releasing their debut single COLD (But I'm Still Here). Capitalizing on the success of COLD (But I'm Still Here), the group released their first album, The Melody and the Energetic Nature of Volume on February 21st. As one of the breakthrough rock success stories of the year, The Melody and the Energetic Nature of Volume became the Nation's #1 New Artist release in it's first week. The band is continually touring all year in support of their release. Director Paul Brown lends his creative eye to bring the bands energy through the screen and into your brain with the video for COLD (But I'm Still Here).",evans,blue,cold,but,103340,hollywoodrec,De-E6yZSo7M,,316,5 days ago,1146731031000,"Thu, 04 May 2006 08:23:51 GMT",20060504082351,2.5,im,still,here,music,video,hollywood,records,modern,rock,,,,,,,,
"The Vines - ""Anysound""",114,"THE VINES ARE BACK! Be one of the first to watch their new video ""Anysound"" - Available exclusively at YouTube.com. The new album, Vision Valley is in stores NOW.",The,Vines,Anysound,Vision,22831,TheVinesrock,LiIboq6XCOg,,207,12 hours ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,Valley,Craig,Nicholls,Ride,Winning,Days,Evolved,,,,,,,,,,
Philippines 2006 -- Madridejos Wet Market,114,"Suyen and I went on vacation in Cebu from 16 to 30 April 2006. Here are some of the sights and sounds from our trip. 
 
When we got to Madridejos, we went shopping for fish in the wet market.  Man, look at the size of that snail!  Someone is going to eat that:P  Afterward we visited the future cyber cafe that the family will run -- that is, when th
	
		Suyen and I went on vacation in Cebu from 16 to 30 April 2006. Here are some of the sights and sounds from our trip. 
 
When we got to Madridejos, we went shopping for fish in the wet market.  Man, look at the size of that snail!  Someone is going to eat that:P  Afterward we visited the future cyber cafe that the family will run -- that is, when there is internet access in Madridejos.
		... (more)
		(less)",Philippines,Vacation,2006,April,12008,Srovets,mUpeibKLf6o,,55,9 hours ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,Madridejos,wet,market,,,,,,,,,,,,,,
"awesome human beatbox ""Lasse Gjertsen""",125,This guy is incredible!,beat,box,music,mouth,347178,champaR,LVCb52iQrfo,,3744,1 day ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,,,,,,,,,,,,,,,,,
Power tool drag races!,341,"Blown big-block belt sanders...Nitro burning funny-saws...Wheel standin' weed wackers...MAKE Magazine is here ""live"" at the annual Power Tool drag races - lots of electricity, beer, fire and fun - here's our coverage, photos and video from the races!",make,makemagazine,power,tool,76130,makemagazine,syEt52aZ2U8,,157,1 day ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,drag,race,,,,,,,,,,,,,,,
"Wintergreen ""When I Wake Up"" Dir: Keith Schofield",152,"Music video tells story of Atari's E.T. game debacle 
An indie band has made a music video featuring the story of the misbegotten Atari E.T. game cartridge. The game stank on ice and millions of copies were buried in a landfill -- the song's pretty good too. www.wintergreenmusic.com www.keithschofield.com",Wintergreen,E.T.,Atari,desert,65610,jarts,8Rt_3_bQVJU,,359,2 months ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,,,,,,,,,,,,,,,,,
The Maccabees music video,193,"Music Video for 'Latchmere' by up and coming uk band The Maccabees. 
 
http://www.themaccabees.co.uk/ 
http://www.myspace.com/themacc abees 
 
Single out April 10th on Fierce Panda Records 
 
Art Direction & Editing: 
Hugh Frost and Samuel Bebbington 
Photography: 
Holly Blake 
 
Latchmere audio Copright The Macabees 2006 
Latchmere visual Copright 
	
		Music Video for 'Latchmere' by up and coming uk band The Maccabees. 
 
http://www.themaccabees.co.uk/ 
http://www.myspace.com/themacc abees 
 
Single out April 10th on Fierce Panda Records 
 
Art Direction & Editing: 
Hugh Frost and Samuel Bebbington 
Photography: 
Holly Blake 
 
Latchmere audio Copright The Macabees 2006 
Latchmere visual Copright H.Frost, S.Bebbington, H.Blake 2006 
 
http://www.posikids.org/ 
http://www.samuelbebbington.co .uk 
 
Production Note: The editing seems to have slipped out of time slightly due to the decreased framerate it was exported at for web viewing. Sorry.
		... (more)
		(less)",awesome,stop,frame,animation,41318,posikids,z0QgGS5FK7w,,208,1 month ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,indie,music,video,,,,,,,,,,,,,,
Don't Die Cindy - So Much For Secret Passwords,226,"http://www.myspace.com/dontdie cindy 
Video by: Don't Die Cindy & Randy Baublis 
Don't Die Cindy is a four-piece indie/space rock band from Panama City, FL. Their goal is to move listeners to another place, both through music and performance. So we invite you to come along and join the ride.",Don't,Die,Cindy,Music,26745,dontdiecindy,6qd__raiJpQ,,55,2 months ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,Indie,Rock,Radiohead,Coldplay,Space,Emo,Dont,Panama,City,Florida,Experimental,Prog,Death,Cab,,,
Mestre Moraes and Carlao,98,"*Since this has been featured* If you don't like this one, try this one. http://www.youtube.com/watch?v =1CHpsAr7LO0 
It's a bit faster. 
This is Capoeira Angola. Cunning is used in favor of brute force for training.",Mestre,Moraes,Carlao,Capoeira,48305,chirodiesel,F244jf3bZOw,,134,2 days ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,Angola,Roda,Jogo,,,,,,,,,,,,,,
Star Trek Cribs - The Director's Cut,60,Check out Star Trek 2.0 weeknights at 11PM only on G4. http://www.g4tv.com/startrek20,Star,Trek,G4tv,Spock,174895,G4TV,eBXal1GAA4A,,967,5 days ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,Kirk,crib,long,,,,,,,,,,,,,,
"Low Water - ""Strange New Element""",220,"Low Water is saved from impending doom by the lovely Sumi Das! Cameos by Morgan Webb, Laura Swisher, Sarah Lane & Cat Schwartz.  http://myspace.com/lowwater",lowwater,morganwebb,sumi,,58924,lowwater,TZTbFWpW61k,,246,1 week ago,1147188289000,"Tue, 09 May 2006 15:24:49 GMT",20060509152449,2.5,,,,,,,,,,,,,,,,,
"The Vines - ""Anysound""",114,"THE VINES ARE BACK! Be one of the first to watch their new video ""Anysound"" - Available exclusively at YouTube.com. The new album, Vision Valley is in stores NOW.",The,Vines,Anysound,Vision,58444,TheVinesrock,LiIboq6XCOg,,428,1 day ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,Valley,Craig,Nicholls,Ride,Winning,Days,Evolved,,,,,,,,,,
Video From The Future - Eugene Mirman,89,"Eugene Mirman sent a video from the future... 
 
This video can be seen on the DVD that accompanies Eugene's new comedy album En Garde Society!  
 
Check out Eugene's group: Eugene Mirman must be stopped! to learn about how you can show your love and/or hatred for Eugene.",Eugene,Mirman,Video,from,10096,subpoprecords,SY8b7FUe05g,,114,1 day ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,the,future,sub,pop,subpop,en,garde,society,comedy,aliens,must,be,stopped,protest,,,
Philippines 2006 -- Madridejos Wet Market,114,"Suyen and I went on vacation in Cebu from 16 to 30 April 2006. Here are some of the sights and sounds from our trip. 
 
When we got to Madridejos, we went shopping for fish in the wet market.  Man, look at the size of that snail!  Someone is going to eat that:P  Afterward we visited the future cyber cafe that the family will run -- that is, when th
	
		Suyen and I went on vacation in Cebu from 16 to 30 April 2006. Here are some of the sights and sounds from our trip. 
 
When we got to Madridejos, we went shopping for fish in the wet market.  Man, look at the size of that snail!  Someone is going to eat that:P  Afterward we visited the future cyber cafe that the family will run -- that is, when there is internet access in Madridejos.
		... (more)
		(less)",Philippines,Vacation,2006,April,27277,Srovets,mUpeibKLf6o,,113,22 hours ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,Madridejos,wet,market,,,,,,,,,,,,,,
"awesome human beatbox ""Lasse Gjertsen""",125,This guy is incredible!,beat,box,music,mouth,424267,champaR,LVCb52iQrfo,,4472,2 days ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,,,,,,,,,,,,,,,,,
Power tool drag races!,341,"Blown big-block belt sanders...Nitro burning funny-saws...Wheel standin' weed wackers...MAKE Magazine is here ""live"" at the annual Power Tool drag races - lots of electricity, beer, fire and fun - here's our coverage, photos and video from the races!",make,makemagazine,power,tool,92786,makemagazine,syEt52aZ2U8,,191,2 days ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,drag,race,,,,,,,,,,,,,,,
"Wintergreen ""When I Wake Up"" Dir: Keith Schofield",152,"Music video tells story of Atari's E.T. game debacle 
An indie band has made a music video featuring the story of the misbegotten Atari E.T. game cartridge. The game stank on ice and millions of copies were buried in a landfill -- the song's pretty good too. www.wintergreenmusic.com www.keithschofield.com",Wintergreen,E.T.,Atari,desert,70136,jarts,8Rt_3_bQVJU,,388,2 months ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,,,,,,,,,,,,,,,,,
The Maccabees music video,193,"Music Video for 'Latchmere' by up and coming uk band The Maccabees. 
 
http://www.themaccabees.co.uk/ 
http://www.myspace.com/themacc abees 
 
Single out April 10th on Fierce Panda Records 
 
Art Direction & Editing: 
Hugh Frost and Samuel Bebbington 
Photography: 
Holly Blake 
 
Latchmere audio Copright The Macabees 2006 
Latchmere visual Copright 
	
		Music Video for 'Latchmere' by up and coming uk band The Maccabees. 
 
http://www.themaccabees.co.uk/ 
http://www.myspace.com/themacc abees 
 
Single out April 10th on Fierce Panda Records 
 
Art Direction & Editing: 
Hugh Frost and Samuel Bebbington 
Photography: 
Holly Blake 
 
Latchmere audio Copright The Macabees 2006 
Latchmere visual Copright H.Frost, S.Bebbington, H.Blake 2006 
 
http://www.posikids.org/ 
http://www.samuelbebbington.co .uk 
 
Production Note: The editing seems to have slipped out of time slightly due to the decreased framerate it was exported at for web viewing. Sorry.
		... (more)
		(less)",awesome,stop,frame,animation,44877,posikids,z0QgGS5FK7w,,226,1 month ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,indie,music,video,,,,,,,,,,,,,,
Don't Die Cindy - So Much For Secret Passwords,226,"http://www.myspace.com/dontdie cindy 
Video by: Don't Die Cindy & Randy Baublis 
Don't Die Cindy is a four-piece indie/space rock band from Panama City, FL. Their goal is to move listeners to another place, both through music and performance. So we invite you to come along and join the ride.",Don't,Die,Cindy,Music,28543,dontdiecindy,6qd__raiJpQ,,60,2 months ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,Indie,Rock,Radiohead,Coldplay,Space,Emo,Dont,Panama,City,Florida,Experimental,Prog,Jimmy,Eat,World,,
Mestre Moraes and Carlao,98,"*Since this has been featured* If you don't like this one, try this one. http://www.youtube.com/watch?v =1CHpsAr7LO0 
It's a bit faster. 
This is Capoeira Angola. Cunning is used in favor of brute force for training.",Mestre,Moraes,Carlao,Capoeira,54165,chirodiesel,F244jf3bZOw,,155,3 days ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,Angola,Roda,Jogo,,,,,,,,,,,,,,
Star Trek Cribs - The Director's Cut,60,Check out Star Trek 2.0 weeknights at 11PM only on G4. http://www.g4tv.com/startrek20,Star,Trek,G4tv,Spock,198167,G4TV,eBXal1GAA4A,,1059,6 days ago,1147233247000,"Wed, 10 May 2006 03:54:07 GMT",20060510035407,2.5,Kirk,crib,long,,,,,,,,,,,,,,
Improvised Keyboard Solo by Chrism,59,"An improvised keyboard solo on a song called ""Chapter V: Raiders of Arakogah"". The song will really feature a guitar/bass/synth duel at this part of the composition... 
 
(WWW.CHRISM-UNIVERSE.COM / WWW.SIMULACRUM.FI / WWW.IRONSPHERE.NET)",shredding,fast,speed,power,5624,Simula84,0AqRdFsxgyg,,40,1 day ago  in Category: Music,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,metal,solo,shred,progressive,fusion,insane,simulacrum,chrism,rudess,warman,synth,keyboard,,,,,
doubleup awesome,8,This is a double up awesome.,cheer,stunt,double,up,11181,doubleupstretch,bkAoESFj_gc,,51,12 hours ago  in Category: Sports,1147801165000,"Tue, 16 May 2006 17:39:25 GMT",20060516173925,2.5,doubleup,awesome,coed,,,,,,,,,,,,,,
