title,duration,description,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,views,author,videoId,comments,stars,numRatings,age,dateFeaturedEpoch,dateFeatured,timestampFeatured,categories/0,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22
Make: How to open a bottle of beer the Scandinavian way,81,Thomas Madsen-Mygdal shows us how in downtown Helsinki - introduced by Arwen O'Reilly. Filmed on a Nokia N93.,make,beer,thomasmadsenmygdal,helsinki,,,,263090,,zG4ztixR2KM,,2.5,208,1 week ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Travel & Places,,,,,,,,,,,,,,,,
man catches snake in mouth!,12,A performer in Thailand cathches a snake in his mouth.,cobra,snake,thailand,fast,danger,venom,mouth,277265,,HITt_ButfRY,,2.5,1098,4 days ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Entertainment,,,,,,,,,,,,,,,,
Peixes ao redor,105,Cardume de peixe em uma das praias de Pernambuco. Eles comem em nossa mão. Férias em dez 2005,peixe,nordeste,pernambuco,ferias,,,,83747,,3YDOr3nGAeU,,2.5,377,4 days ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Travel & Places,,,,,,,,,,,,,,,,
Blues harmonica Improv,63,blues harmonica improvisation,music,harmonica,blues,harp,instrument,,,93281,,zTCCbdzb_Jw,,2.5,1228,3 days ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Music,,,,,,,,,,,,,,,,
The French King of Mountainbiking,15,Here you go. Look at this creepy creature which is trying to shock his friends and family with an amazing stunt.,Bike,Bicycle,French,France,Idiot,,,170271,,mS08nRjcKA0,,2.5,740,1 month ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Comedy,,,,,,,,,,,,,,,,
invisible Octopus,47,"This Octopus turns invisible and visible at will.  Just watch. 
(Please check out my other videos)",invisible,octopus,animal,creature,amazing,,,375150,,OQWxIrSRDQQ,,2.5,2339,4 months ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Science & Technology,,,,,,,,,,,,,,,,
Massanutten Waterpark Flowrider,89,Matt Griffin on Massanutten Waterpark Flowrider. June 03 2006.,Flowrider,Flow,rider,Bodyboard,Body,board,surf,180672,,71M9jpT01Yg,,2.5,764,4 weeks ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Sports,wavehouse,waveloch,,,,,,,,,,,,,,
Explosion - An improvised synth solo,471,"MooT BooXLe performing on the Synthesizers.com modular analogue synthesizer. This is not a perfect performance, as it was improvised in one go.  
Also functioning in this video are the Moogerfooger CP-251, the Roland Space Echo, and Reason drums. 
I was controlling the filter cutoff with a CV pedal. 
REMIX available soon on www.mootbooxle.com !! 
A
	
		MooT BooXLe performing on the Synthesizers.com modular analogue synthesizer. This is not a perfect performance, as it was improvised in one go.  
Also functioning in this video are the Moogerfooger CP-251, the Roland Space Echo, and Reason drums. 
I was controlling the filter cutoff with a CV pedal. 
REMIX available soon on www.mootbooxle.com !! 
Also, I wasn't looking at the camera, in case you were wondering. I was watching computer monitors, which were showing visual feedback on what I was playing. Thanks for watching!!
		... (more)
		(less)",moot,booxle,improvised,keyboard,bass,analog,synthesizer,285557,,YP_XG08JHyw,,2.5,2741,3 weeks ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Music,synth,electronic,techno,synthesizers.com,solo,performance,,,,,,,,,,
Top Ten Video Game Weapons,341,GT Countdown takes a look at the weapons that cause the most damage and are most fun to use.,games,weapons,videogames,xbox,xbox360,snes,gamecube,473922,,GxSdKF5Fd38,,2.5,1875,6 days ago,1151895373000,"Mon, 03 Jul 2006 02:56:13 GMT",20060703025613,Video Games,doom,mario,ps2,ps3,halo,quake,metroid,,,,,,,,,
Addicted to YouTube,163,"Two days in the making, this is my insane tribute to youtube.com! Please post a comment and tell me what you think :) 
The music was written and sung by me too. 
Lyrics: 
 
*** 
Every morning when I wake up 
I get up and I check my messages 
Then i check my subscriptions to see if anyone has posted any new stuff 
 
 
I'm addicted to youtube 
I'm ad
	
		Two days in the making, this is my insane tribute to youtube.com! Please post a comment and tell me what you think :) 
The music was written and sung by me too. 
Lyrics: 
 
*** 
Every morning when I wake up 
I get up and I check my messages 
Then i check my subscriptions to see if anyone has posted any new stuff 
 
 
I'm addicted to youtube 
I'm addicted to youtube 
Yes I am! 
I'm addicted to youtube 
I'm addicted to youtube 
Yes I am! 
 
 
I browse all day 
I browse all night 
 
Now It's time to watch the furries  
play on my keyboard 
 
*furry dance* 
 
I like to leave my comments 
and rate the videos I find 
I add good ones to my favourites 
and sometimes I even subscribe 
 
I'm addicted to youtube 
I'm addicted to youtube 
yes I am! 
I'm addicted to youtube 
I'm addicted to youtube 
yes I am! 
 
 
I like to watch nasty accidents 
I like to watch kittens fight 
i find that a lot of videos on you tube are shite ... but 
 
galipoka rocks! 
his videos are fun 
""shuddup coke!"" 
 
frododylan is weird 
but his videos make me laugh 
***
		... (more)
		(less)",youtube,song,music,animation,furry,animals,cow,90553,,-sDyVAUb8xE,,2.5,3023,5 days ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Comedy,mouse,funny,lol,addict,addicted,internet,cute,crazy,insane,mad,wtf,dance,,,,
You're Fat!,66,I tell her she's fat.,karl,yoder,comedy,humor,funny,weird,shorts,97488,,BkKXIIXXaAw,,2.5,1480,4 days ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Comedy,fat,,,,,,,,,,,,,,,
AMERICA'S GOT TALENT -Kid singer Bianca Ryan,205,Another kid singer from the show,America's,Got,Talent,Kid,Singer,,,261140,,p2Wq6CPLN9U,,2.5,2002,3 days ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Entertainment,,,,,,,,,,,,,,,,
Make: How to open a bottle of beer the Scandinavian way,81,Thomas Madsen-Mygdal shows us how in downtown Helsinki - introduced by Arwen O'Reilly. Filmed on a Nokia N93.,make,beer,thomasmadsenmygdal,helsinki,,,,312986,,zG4ztixR2KM,,2.5,208,2 weeks ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Travel & Places,,,,,,,,,,,,,,,,
man catches snake in mouth!,12,A performer in Thailand cathches a snake in his mouth.,cobra,snake,thailand,fast,danger,venom,mouth,330888,,HITt_ButfRY,,2.5,1281,5 days ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Entertainment,,,,,,,,,,,,,,,,
Peixes ao redor,105,Cardume de peixe em uma das praias de Pernambuco. Eles comem em nossa mão. Férias em dez 2005,peixe,nordeste,pernambuco,ferias,,,,100578,,3YDOr3nGAeU,,2.5,423,4 days ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Travel & Places,,,,,,,,,,,,,,,,
Blues harmonica Improv,63,blues harmonica improvisation,music,harmonica,blues,harp,instrument,,,109682,,zTCCbdzb_Jw,,2.5,1419,4 days ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Music,,,,,,,,,,,,,,,,
The French King of Mountainbiking,15,Here you go. Look at this creepy creature which is trying to shock his friends and family with an amazing stunt.,Bike,Bicycle,French,France,Idiot,,,210095,,mS08nRjcKA0,,2.5,882,1 month ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Comedy,,,,,,,,,,,,,,,,
invisible Octopus,47,"This Octopus turns invisible and visible at will.  Just watch. 
(Please check out my other videos)",invisible,octopus,animal,creature,amazing,,,427921,,OQWxIrSRDQQ,,2.5,2598,4 months ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Science & Technology,,,,,,,,,,,,,,,,
Massanutten Waterpark Flowrider,89,Matt Griffin on Massanutten Waterpark Flowrider. June 03 2006.,Flowrider,Flow,rider,Bodyboard,Body,board,surf,215724,,71M9jpT01Yg,,2.5,908,4 weeks ago,1151969807000,"Mon, 03 Jul 2006 23:36:47 GMT",20060703233647,Sports,wavehouse,waveloch,,,,,,,,,,,,,,
Rant the beard and poetry.,297,"More youtube ranting about a new ""feature"" that's going to make things harder to see good vids. 
I talk more about my beard and a challenge to shave it! 
and read Whispers of Immortality by T.S. Eliot",Youtube,rant,worst,rated,depression,beard,shaving,17418,,LGMrwJM6Yb8,,2.5,420,1 day ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,News & Blogs,T.S.,Eliot,Whispers,of,Immortality,,,,,,,,,,,
"BrasilFrench Samba, HamburgFanFest, FIFA WM2006 Deutscheland",74,"Party among France & Brazil fans, what the World Cup was really all about - party & love, even among rivals... one guy in particular feeling the party more than others ;) - Fiesta en el mundial entre Franceses y Brasileiros, el sentimiento principal del Mundial - fiesta y amor entre paises, aun rivales.. un tipo en particular festejando mas que tod
	
		Party among France & Brazil fans, what the World Cup was really all about - party & love, even among rivals... one guy in particular feeling the party more than others ;) - Fiesta en el mundial entre Franceses y Brasileiros, el sentimiento principal del Mundial - fiesta y amor entre paises, aun rivales.. un tipo en particular festejando mas que todos jeje
		... (more)
		(less)",Hamburg,Fan,Fest,futbol,mundial,WM,soccer,36562,,h4WQJY61s80,,2.5,188,1 day ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Sports,party,fans,France,Brazil,,,,,,,,,,,,
It's OK,30,"A Bush in 30 Seconds video, #76 of the 1500 or so in that competition.  It shows teenagers blindly accepting their fate under our current hypocritical and deadly regime.",teenagers,constitution,Bush,freedom,"""Bush",in,30,71937,,TjZju__wheU,,2.5,1093,1 day ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,News & Blogs,"Seconds""",parody,politics,,,,,,,,,,,,,
Making Semi-Automatic: Anatomy of a Shootout,565,"Behind the scenes of my short film, Semi-Automatic. Shows how we made the gunfight, squibs, blanks, blood effects etc. An insight into short, budget filmmaking.",semi,automatic,anatomy,shootout,bigman,productions,film,27378,,r_ocDaSt4U4,,2.5,116,1 day ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Entertainment,making,of,guns,squibs,hitman,short,lfs,rick,Bush,,,,,,,
First Day Of My Life,181,"This is a cover of Bright Eyes ""First Day Of My Life""....I hope you guys like it ;)",Bright,Eyes,First,Day,Of,My,Life,44362,,TEPixxM9xFg,,2.5,783,1 day ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Music,Cover,Meghan,Julius,,,,,,,,,,,,,
Jarpslide,62,"Wild Mountain Man (from houston????) Fight FIERCE BRUTAL, uhm, slope! of SNOWY DOOM.",jarp,forumopolis,snow,mountain,yosemite,,,16302,,aka9ZcjKugQ,,2.5,163,20 hours ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Travel & Places,,,,,,,,,,,,,,,,
E306 Clips: Xbox 360 Gesture Recognition,32,Xbox 360 Gesture Recognition,E306,Clips,Gizmodo,,,,,108876,,Pr85EsHCz1g,,2.5,171,1 month ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Video Games,,,,,,,,,,,,,,,,
Addicted to YouTube,163,"Two days in the making, this is my insane tribute to youtube.com! Please post a comment and tell me what you think :) 
The music was written and sung by me too. 
Lyrics: 
 
*** 
Every morning when I wake up 
I get up and I check my messages 
Then i check my subscriptions to see if anyone has posted any new stuff 
 
 
I'm addicted to youtube 
I'm ad
	
		Two days in the making, this is my insane tribute to youtube.com! Please post a comment and tell me what you think :) 
The music was written and sung by me too. 
Lyrics: 
 
*** 
Every morning when I wake up 
I get up and I check my messages 
Then i check my subscriptions to see if anyone has posted any new stuff 
 
 
I'm addicted to youtube 
I'm addicted to youtube 
Yes I am! 
I'm addicted to youtube 
I'm addicted to youtube 
Yes I am! 
 
 
I browse all day 
I browse all night 
 
Now It's time to watch the furries  
play on my keyboard 
 
*furry dance* 
 
I like to leave my comments 
and rate the videos I find 
I add good ones to my favourites 
and sometimes I even subscribe 
 
I'm addicted to youtube 
I'm addicted to youtube 
yes I am! 
I'm addicted to youtube 
I'm addicted to youtube 
yes I am! 
 
 
I like to watch nasty accidents 
I like to watch kittens fight 
i find that a lot of videos on you tube are shite ... but 
 
galipoka rocks! 
his videos are fun 
""shuddup coke!"" 
 
frododylan is weird 
but his videos make me laugh 
***
		... (more)
		(less)",youtube,song,music,animation,furry,animals,cow,167072,,-sDyVAUb8xE,,2.5,5197,6 days ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Comedy,mouse,funny,lol,addict,addicted,internet,cute,crazy,insane,mad,wtf,dance,,,,
You're Fat!,66,I tell her she's fat.,karl,yoder,comedy,humor,funny,weird,shorts,197841,,BkKXIIXXaAw,,2.5,2542,6 days ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Comedy,fat,,,,,,,,,,,,,,,
AMERICA'S GOT TALENT -Kid singer Bianca Ryan,205,Another kid singer from the show,America's,Got,Talent,Kid,Singer,,,344511,,p2Wq6CPLN9U,,2.5,2467,5 days ago,1152066270000,"Wed, 05 Jul 2006 02:24:30 GMT",20060705022430,Entertainment,,,,,,,,,,,,,,,,
Rant the beard and poetry.,297,"More youtube ranting about a new ""feature"" that's going to make things harder to see good vids. 
I talk more about my beard and a challenge to shave it! 
and read Whispers of Immortality by T.S. Eliot",Youtube,rant,worst,rated,depression,beard,shaving,20230,,LGMrwJM6Yb8,,2.5,488,1 day ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,News & Blogs,T.S.,Eliot,Whispers,of,Immortality,,,,,,,,,,,
"BrasilFrench Samba, HamburgFanFest, FIFA WM2006 Deutscheland",74,"Party among France & Brazil fans, what the World Cup was really all about - party & love, even among rivals... one guy in particular feeling the party more than others ;) - Fiesta en el mundial entre Franceses y Brasileiros, el sentimiento principal del Mundial - fiesta y amor entre paises, aun rivales.. un tipo en particular festejando mas que tod
	
		Party among France & Brazil fans, what the World Cup was really all about - party & love, even among rivals... one guy in particular feeling the party more than others ;) - Fiesta en el mundial entre Franceses y Brasileiros, el sentimiento principal del Mundial - fiesta y amor entre paises, aun rivales.. un tipo en particular festejando mas que todos jeje
		... (more)
		(less)",Hamburg,Fan,Fest,futbol,mundial,WM,soccer,39583,,h4WQJY61s80,,2.5,200,1 day ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,Sports,party,fans,France,Brazil,,,,,,,,,,,,
It's OK,30,"A Bush in 30 Seconds video, #76 of the 1500 or so in that competition.  It shows teenagers blindly accepting their fate under our current hypocritical and deadly regime.",teenagers,constitution,Bush,freedom,"""Bush",in,30,80881,,TjZju__wheU,,2.5,1218,2 days ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,News & Blogs,"Seconds""",parody,politics,,,,,,,,,,,,,
Making Semi-Automatic: Anatomy of a Shootout,565,"Behind the scenes of my short film, Semi-Automatic. Shows how we made the gunfight, squibs, blanks, blood effects etc. An insight into short, budget filmmaking.",semi,automatic,anatomy,shootout,bigman,productions,film,30664,,r_ocDaSt4U4,,2.5,128,1 day ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,Entertainment,making,of,guns,squibs,hitman,short,lfs,rick,Bush,,,,,,,
First Day Of My Life,181,"This is a cover of Bright Eyes ""First Day Of My Life""....I hope you guys like it ;)",Bright,Eyes,First,Day,Of,My,Life,50074,,TEPixxM9xFg,,2.5,886,1 day ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,Music,Cover,Meghan,Julius,,,,,,,,,,,,,
Jarpslide,62,"Wild Mountain Man (from houston????) Fight FIERCE BRUTAL, uhm, slope! of SNOWY DOOM.",jarp,forumopolis,snow,mountain,yosemite,,,17370,,aka9ZcjKugQ,,2.5,176,22 hours ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,Travel & Places,,,,,,,,,,,,,,,,
E306 Clips: Xbox 360 Gesture Recognition,32,Xbox 360 Gesture Recognition,E306,Clips,Gizmodo,,,,,111137,,Pr85EsHCz1g,,2.5,174,1 month ago,1152074476000,"Wed, 05 Jul 2006 04:41:16 GMT",20060705044116,Video Games,,,,,,,,,,,,,,,,
