title,description,tags/0,tags/1,tags/2,tags/3,views,author,videoId,uploadDate,comments,dateFeaturedEpoch,dateFeatured,timestampFeatured,age,duration,stars,tags/4,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,categories/0,tags/18,tags/19,tags/20,tags/21,tags/22
ride with the 508,street bike stunts,motorcycles,stunts,streetbikes,,900,sickgsxr508,d351BFUYDYA,"June 27, 2005",2,1121916451000,"Thu, 21 Jul 2005 03:27:31 GMT",20050721032731,,0,,,,,,,,,,,,,,,,,,,,,
California Rush,Hope ya like it :) made by me,sad,fantasy,fun,,103,Slightlyevil,ZigmrWcapxA,"July 19, 2005",2,1121916451000,"Thu, 21 Jul 2005 03:27:31 GMT",20050721032731,,0,,,,,,,,,,,,,,,,,,,,,
Extreme Unicycling,I can not even ride a wheelie on a regular bike with out breaking a leg and these guys make it look so easy with a unicycle,unicycle,Extreme,skill,,404,larfus,9S13CWLHQ_8,"June 25, 2005",0,1121916451000,"Thu, 21 Jul 2005 03:27:31 GMT",20050721032731,,0,,,,,,,,,,,,,,,,,,,,,
oliver sit,My puppy Oliver.,dog,puppy,oliver,boston,560,fastlife,hviBDtIFX50,"June 13, 2005",3,1121916451000,"Thu, 21 Jul 2005 03:27:31 GMT",20050721032731,,0,,terrier,,,,,,,,,,,,,,,,,,,
adi,Caesarea,adi,cae,sarea,,187,zipisou,YQ9FBtd17ls,"July 18, 2005",0,1121916451000,"Thu, 21 Jul 2005 03:27:31 GMT",20050721032731,,0,,,,,,,,,,,,,,,,,,,,,
chick's *ss on fire,apologies if this is a retread,chick,fire,liquor,mryan,492,buckyball,qiCQT6TnEqs,"July 15, 2005",13,1121997206000,"Fri, 22 Jul 2005 01:53:26 GMT",20050722015326,,0,,,,,,,,,,,,,,,,,,,,,
So Happy to be Back Home Dance,"We just spent a year abroad, here's the dance to that conveys how we feel about being back",happy,dance,awkward,,30,lebrookski,6qYdY4-kKrA,"July 21, 2005",0,1121997206000,"Fri, 22 Jul 2005 01:53:26 GMT",20050722015326,,0,,,,,,,,,,,,,,,,,,,,,
Bubble Madness,I shot this video at my nephew's second birthday party using a Canon SD300 digi cam.,bubbles,cute,fun,kids,210,Kaizenamazen,y77vfcTztOo,"July 10, 2005",1,1121997206000,"Fri, 22 Jul 2005 01:53:26 GMT",20050722015326,,0,,,,,,,,,,,,,,,,,,,,,
Dancing,A brief lesson in how look graceful and talented at 6 in the morning despite having a night of free drinks. Essential viewing for all those wanting to know how to look good infront of cameras,MCHQ,dancing,lesson,,213,OldSkoolSteve,eaEGyWQsFjY,"June 20, 2005",3,1121997206000,"Fri, 22 Jul 2005 01:53:26 GMT",20050722015326,,0,,,,,,,,,,,,,,,,,,,,,
whiteout,"incredible wall of water , how does he do it ?",surfing,bigwave,whiteout,,469,amoroma327,4Q9dw02whKs,"July 17, 2005",4,1121997206000,"Fri, 22 Jul 2005 01:53:26 GMT",20050722015326,,0,,,,,,,,,,,,,,,,,,,,,
chick's *ss on fire,apologies if this is a retread,chick,fire,liquor,mryan,507,buckyball,qiCQT6TnEqs,"July 15, 2005",14,1122018038000,"Fri, 22 Jul 2005 07:40:38 GMT",20050722074038,,0,,,,,,,,,,,,,,,,,,,,,
whiteout,"incredible wall of water , how does he do it ?",surfing,bigwave,whiteout,,502,amoroma327,4Q9dw02whKs,"July 17, 2005",4,1122018038000,"Fri, 22 Jul 2005 07:40:38 GMT",20050722074038,,0,,,,,,,,,,,,,,,,,,,,,
adi,Caesarea,adi,cae,sarea,,262,zipisou,YQ9FBtd17ls,"July 18, 2005",1,1122018038000,"Fri, 22 Jul 2005 07:40:38 GMT",20050722074038,,0,,,,,,,,,,,,,,,,,,,,,
California Rush,Hope ya like it :) made by me,sad,fantasy,fun,,179,Slightlyevil,ZigmrWcapxA,"July 19, 2005",2,1122018038000,"Fri, 22 Jul 2005 07:40:38 GMT",20050722074038,,0,,,,,,,,,,,,,,,,,,,,,
"Money, get a way!",This guy sure knows how to handle his coins...  (Too bad for the broken glass ^.^),coin,dexterity,tricks,,62344,DeKku,EiBBudoC5iQ,"July 16, 2005",50,1122018038000,"Fri, 22 Jul 2005 07:40:38 GMT",20050722074038,,0,,,,,,,,,,,,,,,,,,,,,
Homestead Survivor Video,"This video stars the entire ""cast"" of Homestead, Inc. back in the Fall of 2001. The Survivor theme was inspired by the impending layoffs that forced the company to lay off about 15% of our friends, but ultimately helped the company survive the ""bubble"". Alenda Chang, Stephanie Wong, and Felicia Jose star in the video, which was filmed and edited Randy Lau, with camera work by the lovely (and talented) Stella Hwang. Thanks to Destiny's Child and Beyonce Knowles for the music, which they didn't technically authorize us to use :)",Homestead,Survivor,Beyonce,Knowles,118,pjk13,0E-z35wyaEo,"July 18, 2005",1,1122077863000,"Sat, 23 Jul 2005 00:17:43 GMT",20050723001743,,0,,layoffs,Alenda,Stella,Stephanie,Felicia,Lao,,,,,,,,,,,,,,
adi,Caesarea,adi,cae,sarea,,303,zipisou,YQ9FBtd17ls,"July 18, 2005",2,1122077863000,"Sat, 23 Jul 2005 00:17:43 GMT",20050723001743,,0,,,,,,,,,,,,,,,,,,,,,
programer,computer programer design,computer,programer,design,,205,monkuo,NxWtqnhIGbQ,"July 18, 2005",0,1122077863000,"Sat, 23 Jul 2005 00:17:43 GMT",20050723001743,,0,,,,,,,,,,,,,,,,,,,,,
story-telling02,story-telling house,bebe,baby,family,8mos,39,shirley,Jx2S91ldyi0,"July 21, 2005",0,1122077863000,"Sat, 23 Jul 2005 00:17:43 GMT",20050723001743,,0,,play,,,,,,,,,,,,,,,,,,,
Dancing,A brief lesson in how look graceful and talented at 6 in the morning despite having a night of free drinks. Essential viewing for all those wanting to know how to look good infront of cameras,MCHQ,dancing,lesson,,262,OldSkoolSteve,eaEGyWQsFjY,"June 20, 2005",3,1122077863000,"Sat, 23 Jul 2005 00:17:43 GMT",20050723001743,,0,,,,,,,,,,,,,,,,,,,,,
NukeCompilation,Compilation of some nuclear explosions,nuke,nuclear,explosion,bomb,156,Vergolinx,0MB9tirHbMg,"July 19, 2005",2,1122162552000,"Sat, 23 Jul 2005 23:49:12 GMT",20050723234912,,0,,,,,,,,,,,,,,,,,,,,,
California Rush,Hope ya like it :) made by me,sad,fantasy,fun,,257,Slightlyevil,ZigmrWcapxA,"July 19, 2005",4,1122162552000,"Sat, 23 Jul 2005 23:49:12 GMT",20050723234912,,0,,,,,,,,,,,,,,,,,,,,,
Recovering Basil,"This poor basil was not watered a few days. When I finally gave it water, I put my still camera next to it on a tripod, and for over 3 hours it took a picture every 3 minutes. I put these pictures together and here's how it recovers.",S2,Canon,nature,,559,osarid,gt3NiITgL88,"July 22, 2005",4,1122162552000,"Sat, 23 Jul 2005 23:49:12 GMT",20050723234912,,0,,,,,,,,,,,,,,,,,,,,,
"Money, get a way!",This guy sure knows how to handle his coins...  (Too bad for the broken glass ^.^),coin,dexterity,tricks,,71417,DeKku,EiBBudoC5iQ,"July 16, 2005",55,1122162552000,"Sat, 23 Jul 2005 23:49:12 GMT",20050723234912,,0,,,,,,,,,,,,,,,,,,,,,
Dancing,A brief lesson in how look graceful and talented at 6 in the morning despite having a night of free drinks. Essential viewing for all those wanting to know how to look good infront of cameras,MCHQ,dancing,lesson,,302,OldSkoolSteve,eaEGyWQsFjY,"June 20, 2005",3,1122162552000,"Sat, 23 Jul 2005 23:49:12 GMT",20050723234912,,0,,,,,,,,,,,,,,,,,,,,,
EG Final Presentation Video,robot sales clip,engineering,lego,jaws,,27,jrombousky,Ukg4Y2mTRSE,"July 23, 2005",0,1122249556000,"Sun, 24 Jul 2005 23:59:16 GMT",20050724235916,,0,,,,,,,,,,,,,,,,,,,,,
story-telling02,story-telling house,bebe,baby,family,8mos,73,shirley,Jx2S91ldyi0,"July 21, 2005",0,1122249556000,"Sun, 24 Jul 2005 23:59:16 GMT",20050724235916,,0,,play,,,,,,,,,,,,,,,,,,,
Brad's ugly.,Waxing him.,wax,hair,legs,,94,amerwitz,A1jcYJn24SM,"July 21, 2005",0,1122249556000,"Sun, 24 Jul 2005 23:59:16 GMT",20050724235916,,0,,,,,,,,,,,,,,,,,,,,,
ADDICTED,PYROTEC's FIRST MUSIC VIDEO.  get an inside look in to the Los Angeles Underground.,MUSIC,VIDEO,ELECTRONIC,RAVE,110,PYROTEC,DypGcmM49LM,"July 21, 2005",2,1122249556000,"Sun, 24 Jul 2005 23:59:16 GMT",20050724235916,,0,,MTV,,,,,,,,,,,,,,,,,,,
So Happy to be Back Home Dance,"We just spent a year abroad, here's the dance to that conveys how we feel about being back",happy,dance,awkward,,139,lebrookski,6qYdY4-kKrA,"July 21, 2005",0,1122249556000,"Sun, 24 Jul 2005 23:59:16 GMT",20050724235916,,0,,,,,,,,,,,,,,,,,,,,,
alex's Skate Video,Skate video,Skate,Video,Short,,16,akmalisthepimp,UnYmgsaZ1LQ,"July 24, 2005",1,1122335276000,"Mon, 25 Jul 2005 23:47:56 GMT",20050725234756,,0,,,,,,,,,,,,,,,,,,,,,
NukeCompilation,Compilation of some nuclear explosions,nuke,nuclear,explosion,bomb,224,Vergolinx,0MB9tirHbMg,"July 19, 2005",3,1122335276000,"Mon, 25 Jul 2005 23:47:56 GMT",20050725234756,,0,,,,,,,,,,,,,,,,,,,,,
Dancing,A brief lesson in how look graceful and talented at 6 in the morning despite having a night of free drinks. Essential viewing for all those wanting to know how to look good infront of cameras,MCHQ,dancing,lesson,,416,OldSkoolSteve,eaEGyWQsFjY,"June 20, 2005",4,1122335276000,"Mon, 25 Jul 2005 23:47:56 GMT",20050725234756,,0,,,,,,,,,,,,,,,,,,,,,
EG Final Presentation Video,robot sales clip,engineering,lego,jaws,,55,jrombousky,Ukg4Y2mTRSE,"July 23, 2005",0,1122335276000,"Mon, 25 Jul 2005 23:47:56 GMT",20050725234756,,0,,,,,,,,,,,,,,,,,,,,,
story-telling02,story-telling house,bebe,baby,family,8mos,92,shirley,Jx2S91ldyi0,"July 21, 2005",0,1122335276000,"Mon, 25 Jul 2005 23:47:56 GMT",20050725234756,,0,,play,,,,,,,,,,,,,,,,,,,
Don't Stop,"A Small Party,one too many drinks, Burkie,Stevo, and  I.",Dont,Stop,Believing,,299,nmartingano,BPf_UXG_2ls,"July 24, 2005",3,1122421896000,"Tue, 26 Jul 2005 23:51:36 GMT",20050726235136,,0,,,,,,,,,,,,,,,,,,,,,
Brad's ugly.,Waxing him.,wax,hair,legs,,174,amerwitz,A1jcYJn24SM,"July 21, 2005",0,1122421896000,"Tue, 26 Jul 2005 23:51:36 GMT",20050726235136,,0,,,,,,,,,,,,,,,,,,,,,
new frequency,"waving,liquidpop",liquidpop,waving,dancing,,236,ganjamecrzy,6mcs3ldzvA0,"July 21, 2005",3,1122421896000,"Tue, 26 Jul 2005 23:51:36 GMT",20050726235136,,0,,,,,,,,,,,,,,,,,,,,,
alex's Skate Video,Skate video,Skate,Video,Short,,16,akmalisthepimp,UnYmgsaZ1LQ,"July 24, 2005",1,1122421896000,"Tue, 26 Jul 2005 23:51:36 GMT",20050726235136,,0,,,,,,,,,,,,,,,,,,,,,
EG Final Presentation Video,robot sales clip,engineering,lego,jaws,,86,jrombousky,Ukg4Y2mTRSE,"July 23, 2005",0,1122421896000,"Tue, 26 Jul 2005 23:51:36 GMT",20050726235136,,0,,,,,,,,,,,,,,,,,,,,,
Lanzamiento del Discovery,"Estar ahi debe haber sido una de mis mayores emociones... para mi lado cientifico. Ademas de la suerte de estar aca en Florida justo para un lanzamiento, tuve suerte de finalmente conseguir tickets para tener una vista abierta (aunque bastante lejana) del lanzamiento. Mi camara no tiene un buen zoom para video, por lo que se ve peor de lo que yo vi a simple vista. Sin embargo, echenle una mirada.",discovery,space,shuttle,transbordador,11,zedmusic,z9Wk4O20FyE,"July 27, 2005",0,1122512694000,"Thu, 28 Jul 2005 01:04:54 GMT",20050728010454,,0,,espacial,lanzamiento,launch,,,,,,,,,,,,,,,,,
Don't Stop,"A Small Party,one too many drinks, Burkie,Stevo, and  I.",Dont,Stop,Believing,,399,nmartingano,BPf_UXG_2ls,"July 24, 2005",3,1122512694000,"Thu, 28 Jul 2005 01:04:54 GMT",20050728010454,,0,,,,,,,,,,,,,,,,,,,,,
esther fons en michel,vlak voordat we naar et bos gingen :D,lachen,gieren,brullen,,140,krisiegirl,C8_lmDlEFt0,"July 25, 2005",0,1122512694000,"Thu, 28 Jul 2005 01:04:54 GMT",20050728010454,,0,,,,,,,,,,,,,,,,,,,,,
AniMoonSun!!!,This is a RealLife animation of a painting I did on my apartment wall.  This painting could glow in the dark and in black light.  Was bummer to paint over this one!!!..COBALT,art,painting,creative,pimp,44,COBALTGRUV,BbI9fg_ADKU,"July 22, 2005",0,1122512694000,"Thu, 28 Jul 2005 01:04:54 GMT",20050728010454,,0,,cobalt,,,,,,,,,,,,,,,,,,,
walk 1 in Prague,This is my first walk in Prague this summer (July 2005).,Prague,July,2005,,108,cinemato,b3ltplcXnSM,"July 24, 2005",2,1122512694000,"Thu, 28 Jul 2005 01:04:54 GMT",20050728010454,,0,,,,,,,,,,,,,,,,,,,,,
beyond,绝对精辟的2个丑种也拍MTV,beyond,wudizirong,MTV,,264,sawaki,5Mce-CyptH8,"July 27, 2005",0,1122596990000,"Fri, 29 Jul 2005 00:29:50 GMT",20050729002950,,0,,,,,,,,,,,,,,,,,,,,,
Lanzamiento del Discovery,"Estar ahi debe haber sido una de mis mayores emociones... para mi lado cientifico. Ademas de la suerte de estar aca en Florida justo para un lanzamiento, tuve suerte de finalmente conseguir tickets para tener una vista abierta (aunque bastante lejana) del lanzamiento. Mi camara no tiene un buen zoom para video, por lo que se ve peor de lo que yo vi a simple vista. Sin embargo, echenle una mirada.",discovery,space,shuttle,transbordador,110,zedmusic,z9Wk4O20FyE,"July 27, 2005",1,1122596990000,"Fri, 29 Jul 2005 00:29:50 GMT",20050729002950,,0,,espacial,lanzamiento,launch,,,,,,,,,,,,,,,,,
candid shot of a cute girl,candid shot of a cute girl,candid,shot,cute,girl,755,tunafat,WEUN1h6r1U0,"July 24, 2005",3,1122596990000,"Fri, 29 Jul 2005 00:29:50 GMT",20050729002950,,0,,,,,,,,,,,,,,,,,,,,,
ky Stuntin!,Lonely sunday practice!,f4i,gsxr,stunting,Ky,552,dilligaf,1L-xk_c2LBE,"July 24, 2005",1,1122596990000,"Fri, 29 Jul 2005 00:29:50 GMT",20050729002950,,0,,,,,,,,,,,,,,,,,,,,,
Night Sledding,Me and my friends doing crazy fun stuff on a snow day,fun,on,snow,days,193,s00zelo0,4ogxtgFu_l8,"July 24, 2005",1,1122596990000,"Fri, 29 Jul 2005 00:29:50 GMT",20050729002950,,0,,,,,,,,,,,,,,,,,,,,,
World Record Skateboard Jump,this set a world record (i think!) for the longest jump from a skateboard.,skateboard,jump,world,record,84,skaterfreak,QKAMnxEZQYE,"July 29, 2005",1,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,longest,,,,,,,,,,,,,,,,,,,
base jumping video,this video is a compilation of a series of base jumping videos.  this is INTENSE.,base,jumper,jumping,basejump,46,ninja,AEJQo3KwJUc,"July 29, 2005",3,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,crazy,,,,,,,,,,,,,,,,,,,
Clyde,Training at home,weight,pull,american,bulldogs,105,braveheart,YlB9odlQ6nM,"July 29, 2005",0,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,ABA,NKC,APA,,,,,,,,,,,,,,,,,
milkshake dance,"my brothers such a dork, check this video out",dance,dancing,funny,,243,navcityplaya,iOZp7iSX0XM,"July 29, 2005",1,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,,,,,,,,,,,,,,,,,,,,
Singing Fool,Elliott sings lots of songs with Mommy.  He usually gets a little more involved. But we are just trying out the whole video thing.,Singing,Elliott,Songs,,100,TomDecapolis,QwYJX5FxgfQ,"July 28, 2005",1,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,,,,,,,,,,,,,,,,,,,,
Cause Kittie made one ^^,Hehehehe.... I saw Kitties so I had to try it out lol..... ^^,Bored,Gina,Bored,,405,Taikowa,e_hVV-mntXY,"July 28, 2005",1,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,,,,,,,,,,,,,,,,,,,,
Lanzamiento del Discovery,"Estar ahi debe haber sido una de mis mayores emociones... para mi lado cientifico. Ademas de la suerte de estar aca en Florida justo para un lanzamiento, tuve suerte de finalmente conseguir tickets para tener una vista abierta (aunque bastante lejana) del lanzamiento. Mi camara no tiene un buen zoom para video, por lo que se ve peor de lo que yo vi a simple vista. Sin embargo, echenle una mirada.",discovery,space,shuttle,transbordador,200,zedmusic,z9Wk4O20FyE,"July 27, 2005",1,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,espacial,lanzamiento,launch,,,,,,,,,,,,,,,,,
"Money, get a way!",This guy sure knows how to handle his coins...  (Too bad for the broken glass ^.^),coin,dexterity,tricks,,88861,DeKku,EiBBudoC5iQ,"July 16, 2005",56,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,,,,,,,,,,,,,,,,,,,,
Fireworks,Fireworks in Northbridge,fireworks,holiday,fun,,75,doommaria,EYp02YjRzec,"July 28, 2005",0,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,,,,,,,,,,,,,,,,,,,,
"Martinez, The Real Nor Cal","Yeah, if you know what is, I bet your excited",Martinez,Real,Norcal,,208,icer2k5,aWrZlwUgn1A,"July 28, 2005",0,1122688991000,"Sat, 30 Jul 2005 02:03:11 GMT",20050730020311,,0,,,,,,,,,,,,,,,,,,,,,
Prague. Visiting Kafka,One day we were wandreing while talking and found Kafka's house.,Kafka,Prague,July,2005,62,cinemato,Lk2snIZhi3Y,"July 30, 2005",0,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
Athena Swim Dunk,Athena Swim Dunk,Athena,Swim,Dunk,,46,mel171103kev,uWjBYHxRlIk,"July 30, 2005",0,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
RAID French SWAT,French SWAT K9,police,dog,K9,training,33,solimini,fgJANz7-6Xc,"July 30, 2005",0,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
ironshirt,demonstration of iron body technique performed by my Sifu Glen Bullock,kung,fu,shaolin,staff,36,munkierevolution,-aDOl3aU_qM,"July 30, 2005",1,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
Loser,Yeah If your like I can't here anything I know lol Im not saying anything....... lol I say Loser but then I don't lol Whatever you'll see....,Loser,july,bored,,102,Taikowa,Zxln8qwJazc,"July 29, 2005",3,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
Switch #1 - Blogs,"For several years I hosted the SXSW web awards. And each year I would put together video shorts to spice up the show.    Some of my favorites were these Switch Parodies. But since it was for the SXSW Interactive Festival, my “mac-like” testiminials were why to switch from analog to digital.",switch,blogs,halcyon,mac,76,cockybastard,KrOLEHV4wv4,"July 29, 2005",1,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
World Record Skateboard Jump,this set a world record (i think!) for the longest jump from a skateboard.,skateboard,jump,world,record,136,skaterfreak,QKAMnxEZQYE,"July 29, 2005",1,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,longest,,,,,,,,,,,,,,,,,,,
base jumping video,this video is a compilation of a series of base jumping videos.  this is INTENSE.,base,jumper,jumping,basejump,78,ninja,AEJQo3KwJUc,"July 29, 2005",3,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,crazy,,,,,,,,,,,,,,,,,,,
Clyde,Training at home,weight,pull,american,bulldogs,130,braveheart,YlB9odlQ6nM,"July 29, 2005",0,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,ABA,NKC,APA,,,,,,,,,,,,,,,,,
milkshake dance,"my brothers such a dork, check this video out",dance,dancing,funny,,365,navcityplaya,iOZp7iSX0XM,"July 29, 2005",1,1122771702000,"Sun, 31 Jul 2005 01:01:42 GMT",20050731010142,,0,,,,,,,,,,,,,,,,,,,,,
Homage To The Real NorCal,"It's described. As is above. A homage and tribute to the grand city of Martinez, and the future home of the new reality TV show.",Martinez,Real,NorCal,Awesome,70,icer2k5,1cMc3n5-iqQ,"July 31, 2005",0,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
walk #4 in prague,It's all so self-explanatory...,Prague,museum,July,2005,47,cinemato,YXg505lgByA,"July 30, 2005",1,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
Dewey1,"Right ebfore the movies at Dewey Beach with Andrea, Evan, Ollie, and Coleman",The,story,of,my,50,nicolec28,FnmEjQfO8nk,"July 30, 2005",0,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,life,,,,,,,,,,,,,,,,,,,
Small Bird Eating Dragonfly,Small Bird Eating Dragonfly,Small,Bird,Eating,Dragonfly,20,chariyc,GwJ8Cyjf-M4,"July 30, 2005",0,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
Prague. Visiting Kafka,One day we were wandreing while talking and found Kafka's house.,Kafka,Prague,July,2005,110,cinemato,Lk2snIZhi3Y,"July 30, 2005",0,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
Athena Swim Dunk,Athena Swim Dunk,Athena,Swim,Dunk,,98,mel171103kev,uWjBYHxRlIk,"July 30, 2005",1,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
RAID French SWAT,French SWAT K9,police,dog,K9,training,113,solimini,fgJANz7-6Xc,"July 30, 2005",0,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
ironshirt,demonstration of iron body technique performed by my Sifu Glen Bullock,kung,fu,shaolin,staff,94,munkierevolution,-aDOl3aU_qM,"July 30, 2005",1,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
Loser,Yeah If your like I can't here anything I know lol Im not saying anything....... lol I say Loser but then I don't lol Whatever you'll see....,Loser,july,bored,,171,Taikowa,Zxln8qwJazc,"July 29, 2005",3,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
Switch #1 - Blogs,"For several years I hosted the SXSW web awards. And each year I would put together video shorts to spice up the show.    Some of my favorites were these Switch Parodies. But since it was for the SXSW Interactive Festival, my “mac-like” testiminials were why to switch from analog to digital.",switch,blogs,halcyon,mac,105,cockybastard,KrOLEHV4wv4,"July 29, 2005",1,1122855605000,"Mon, 01 Aug 2005 00:20:05 GMT",20050801002005,,0,,,,,,,,,,,,,,,,,,,,,
Little Moab,a day of fun in Little Moab,Wheeling,Little,Moab,,23,badger,JaOzf5mBT5Y,"August 1, 2005",1,1122941625000,"Tue, 02 Aug 2005 00:13:45 GMT",20050802001345,,0,,,,,,,,,,,,,,,,,,,,,
Dokumentar,"This is a documentary (is that the way to write it?) about Stocholm. Moralkariel, a.k.a. Natalia, and me (Mikusagi, a.k.a. Mikaela) are talking Swedish but... you can enjoy the view! ^^  People who knows swedish might learn something or just laugh",Sweden,Stockholm,Mikaela,Mikusagi,32,Mikusagi,xcBgVEkUb54,"August 1, 2005",0,1122941625000,"Tue, 02 Aug 2005 00:13:45 GMT",20050802001345,,0,,Natalia,Moralkariel,,,,,,,,,,,,,,,,,,
Steffie ( en Bart ) in actie,Teakwondo Dan-houder Drukpunt-Stage: Steffie  Uitvoering van een K.O. door middel van drukpunttechnieken op mijn lieve broer Bart!,Teakwondo,KO,Stage,,41,Steffie,nUD2XRdYwe0,"August 1, 2005",0,1122941625000,"Tue, 02 Aug 2005 00:13:45 GMT",20050802001345,,0,,,,,,,,,,,,,,,,,,,,,
